Title,URL,Domains
AWS Certified Cloud Practitioner,https://aws.amazon.com/certification/certified-cloud-practitioner/,"Cloud Concepts; Security and Compliance; Cloud Technology and Services; Billing, Pricing, and Support"
AWS Certified AI Practitioner,https://aws.amazon.com/certification/certified-ai-practitioner/,"Fundamentals of AI and Machine Learning; Fundamentals of Generative AI; Applications of Foundation Models; Guidelines for Responsible AI; Security, Compliance, and Governance for AI Solutions"
AWS Certified Machine Learning Engineer - Associate,https://aws.amazon.com/certification/certified-machine-learning-engineer-associate/,"Data Preparation for Machine Learning; Machine Learning Model Development; Deployment and Orchestration of ML Workflows; Monitoring, Maintenance, and Security of ML Solutions"
AWS Certified Solutions Architect - Associate,https://aws.amazon.com/certification/certified-solutions-architect-associate/,Design Secure Architectures; Design Resilient Architectures; Design High-Performing Architectures; Design Cost-Optimized Architectures
AWS Certified Developer - Associate,https://aws.amazon.com/certification/certified-developer-associate/,Development with AWS Services; Security; Deployment; Troubleshooting and Optimization
AWS Certified Data Engineer - Associate,https://aws.amazon.com/certification/certified-data-engineer-associate/,Data Ingestion and Transformation; Data Storage; Data Processing; Performance and Optimization
AWS Certified SysOps Administrator - Associate,https://aws.amazon.com/certification/certified-sysops-admin-associate/,"Monitoring, Logging, and Remediation; Reliability and Business Continuity; Deployment, Provisioning, and Automation; Security and Compliance; Networking and Content Delivery; Cost and Performance Optimization"
AWS Certified DevOps Engineer - Professional,https://aws.amazon.com/certification/certified-devops-engineer-professional/,Continuous Delivery (CI/CD); Infrastructure as Code (IaC); Monitoring and Logging; Incident and Event Response; Security and Compliance
AWS Certified Solutions Architect - Professional,https://aws.amazon.com/certification/certified-solutions-architect-professional/,Design for Organizational Complexity; Design for New Solutions; Continuous Improvement for Existing Solutions; Accelerate Workload Migration and Modernization
AWS Certified Machine Learning - Specialty,https://aws.amazon.com/certification/certified-machine-learning-specialty/,Data Engineering; Exploratory Data Analysis; Modeling; Machine Learning Implementation and Operations
AWS Certified Security - Specialty,https://aws.amazon.com/certification/certified-security-specialty/,Threat Detection and Incident Response; Security Logging and Monitoring; Infrastructure Security; Identity and Access Management; Data Protection; Management and Security Governance
AWS Certified Advanced Networking - Specialty,https://aws.amazon.com/certification/certified-advanced-networking-specialty/,"Network Design; Network Implementation; Network Management and Operations; Network Security, Compliance, and Governance"
